Period number, Room Temperature, Heater status, Outside temperature
0, 20.00, on, 18.0
1, 20.50, on, 17.9
2, 20.97, on, 17.8
3, 21.41, on, 17.7
4, 21.83, on, 17.6
5, 22.21, on, 17.5
6, 22.58, on, 17.4
7, 22.92, on, 17.3
8, 23.24, on, 17.2
9, 23.54, on, 17.1
10, 23.82, on, 17.0
11, 24.07, off, 16.9
12, 23.72, off, 16.8
13, 23.37, off, 16.7
14, 23.04, off, 16.6
15, 22.71, off, 16.5
16, 22.40, off, 16.4
17, 22.10, off, 16.3
18, 21.81, on, 16.2
19, 22.13, on, 16.1
20, 22.43, on, 16.0
21, 22.71, on, 15.9
22, 22.97, on, 15.8
23, 23.21, on, 15.7
24, 23.44, on, 15.6
25, 23.64, on, 15.5
26, 23.84, on, 15.4
27, 24.01, off, 15.3
28, 23.58, off, 15.2
29, 23.16, off, 15.1
30, 22.76, off, 15.0
31, 22.37, off, 14.9
32, 22.00, on, 14.8
33, 22.24, on, 14.7
34, 22.46, on, 14.6
35, 22.67, on, 14.5
36, 22.86, on, 14.4
37, 23.03, on, 14.3
38, 23.20, on, 14.2
39, 23.35, on, 14.1
40, 23.49, on, 14.0
41, 23.61, on, 13.9
42, 23.73, on, 13.8
43, 23.83, on, 13.7
44, 23.92, on, 13.6
45, 24.01, off, 13.5
46, 23.48, off, 13.4
47, 22.98, off, 13.3
48, 22.49, off, 13.2
49, 22.03, off, 13.1
50, 21.58, on, 13.0
51, 21.75, on, 12.9
52, 21.91, on, 12.8
53, 22.06, on, 12.7
54, 22.19, on, 12.6
55, 22.31, on, 12.5
56, 22.42, on, 12.4
57, 22.52, on, 12.3
58, 22.61, on, 12.2
59, 22.69, on, 12.1
60, 22.76, on, 12.0
61, 22.82, on, 11.9
62, 22.87, on, 11.8
63, 22.92, on, 11.7
64, 22.96, on, 11.6
65, 22.99, on, 11.5
66, 23.02, on, 11.4
67, 23.03, on, 11.3
68, 23.05, on, 11.2
69, 23.06, on, 11.1
70, 23.06, on, 11.0
71, 23.06, on, 10.9
72, 23.05, on, 10.8
73, 23.03, on, 10.7
74, 23.02, on, 10.6
75, 23.00, on, 10.5
76, 22.97, on, 10.4
77, 22.94, on, 10.3
78, 22.91, on, 10.2
79, 22.88, on, 10.1
80, 22.84, on, 10.0
81, 22.80, on, 9.9
82, 22.75, on, 9.8
83, 22.70, on, 9.7
84, 22.65, on, 9.6
85, 22.60, on, 9.5
86, 22.55, on, 9.4
87, 22.49, on, 9.3
88, 22.43, on, 9.2
89, 22.37, on, 9.1
90, 22.30, on, 9.0
91, 22.24, on, 8.9
92, 22.17, on, 8.8
93, 22.10, on, 8.7
94, 22.03, on, 8.6
95, 21.96, on, 8.5
96, 21.89, on, 8.4
97, 21.81, on, 8.3
98, 21.74, on, 8.2
99, 21.66, on, 8.1
